strategy,amount_mxn,horizon_days,rate_shock_bp,gross_interest_mxn,isr_withheld_mxn,net_return_mxn,effective_net_rate,exempt_eligible_balance_mxn,taxable_balance_mxn,fully_protected,needs_conditions,is_default_amount
B. All in Nu Cajita (bank),500000,180,0,16027.4,1269.49,14757.91,0.05985,500000,286026.8,yes,no,no
C. All in CETES (GBM),500000,180,0,17038.36,2219.18,14819.18,0.0601,0,500000.0,yes,no,no
D. All in best SOFIPO fixed term,500000,180,0,24657.53,1269.49,23388.05,0.09485,500000,286026.8,no,no,no
"E. Split, protected products only",500000,180,0,27690.41,1952.88,25737.53,0.10438,60000,440000.0,yes,yes,no
"F. Split, including Mercado Pago",500000,180,0,28553.42,1952.88,26600.55,0.10788,60000,440000.0,no,yes,no
A. All in Stori on demand (SOFIPO),500000,180,50,17260.27,1269.49,15990.79,0.06485,500000,286026.8,no,no,no
B. All in Nu Cajita (bank),500000,180,50,15410.96,1269.49,14141.47,0.05735,500000,286026.8,yes,no,no
C. All in CETES (GBM),500000,180,50,17038.36,2219.18,14819.18,0.0601,0,500000.0,yes,no,no
D. All in best SOFIPO fixed term,500000,180,50,24657.53,1269.49,23388.05,0.09485,500000,286026.8,no,no,no
"E. Split, protected products only",500000,180,50,27073.97,1952.88,25121.1,0.10188,60000,440000.0,yes,yes,no
"F. Split, including Mercado Pago",500000,180,50,27936.99,1952.88,25984.11,0.10538,60000,440000.0,no,yes,no
A. All in Stori on demand (SOFIPO),500000,365,0,36250.0,2574.24,33675.76,0.06735,500000,286026.8,no,no,no
B. All in Nu Cajita (bank),500000,365,0,32500.0,2574.24,29925.76,0.05985,500000,286026.8,yes,no,no
C. All in CETES (GBM),500000,365,0,36200.0,4500.0,31700.0,0.0634,0,500000.0,yes,no,no
D. All in best SOFIPO fixed term,500000,365,0,43450.0,2574.24,40875.76,0.08175,500000,286026.8,no,no,no
"E. Split, protected products only",500000,365,0,56150.0,3960.0,52190.0,0.10438,60000,440000.0,yes,yes,no
"F. Split, including Mercado Pago",500000,365,0,57900.0,3960.0,53940.0,0.10788,60000,440000.0,no,yes,no
A. All in Stori on demand (SOFIPO),500000,365,50,34366.44,2574.24,31792.2,0.06358,500000,286026.8,no,no,no
B. All in Nu Cajita (bank),500000,365,50,30616.44,2574.24,28042.2,0.05608,500000,286026.8,yes,no,no
C. All in CETES (GBM),500000,365,50,36200.0,4500.0,31700.0,0.0634,0,500000.0,yes,no,no
D. All in best SOFIPO fixed term,500000,365,50,43450.0,2574.24,40875.76,0.08175,500000,286026.8,no,no,no
"E. Split, protected products only",500000,365,50,54266.44,3960.0,50306.44,0.10061,60000,440000.0,yes,yes,no
"F. Split, including Mercado Pago",500000,365,50,56016.44,3960.0,52056.44,0.10411,60000,440000.0,no,yes,no
