strategy,amount_mxn,horizon_days,rate_shock_bp,institution,type,product,term_days,rate_annual,allocated_mxn,gross_interest_mxn
D. All in best SOFIPO fixed term,300000,90,0,Stori,SOFIPO,Fixed term 90d,90,0.11,300000,8136.99
"E. Split, protected products only",300000,90,0,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"E. Split, protected products only",300000,90,0,Ualá,Bank,On demand (Plus),0,0.15,30000,1109.59
"E. Split, protected products only",300000,90,0,DiDi,SOFIPO,On demand,0,0.15,10000,369.86
"E. Split, protected products only",300000,90,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,924.66
"E. Split, protected products only",300000,90,0,Nu,Bank,Cajita Turbo,0,0.13,25000,801.37
"E. Split, protected products only",300000,90,0,Openbank,Bank,Apartados Open,0,0.13,30000,961.64
"E. Split, protected products only",300000,90,0,Mifel,Bank,Cuenta Digital,0,0.1,155000,3821.92
"F. Split, including Mercado Pago",300000,90,0,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"F. Split, including Mercado Pago",300000,90,0,Ualá,Bank,On demand (Plus),0,0.15,30000,1109.59
"F. Split, including Mercado Pago",300000,90,0,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,924.66
"F. Split, including Mercado Pago",300000,90,0,DiDi,SOFIPO,On demand,0,0.15,10000,369.86
"F. Split, including Mercado Pago",300000,90,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,924.66
"F. Split, including Mercado Pago",300000,90,0,Nu,Bank,Cajita Turbo,0,0.13,25000,801.37
"F. Split, including Mercado Pago",300000,90,0,Openbank,Bank,Apartados Open,0,0.13,30000,961.64
"F. Split, including Mercado Pago",300000,90,0,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,739.73
"F. Split, including Mercado Pago",300000,90,0,Mifel,Bank,Cuenta Digital,0,0.1,105000,2589.04
A. All in Stori on demand (SOFIPO),300000,90,50,Stori,SOFIPO,On demand,0,0.0725,300000,5363.01
B. All in Nu Cajita (bank),300000,90,50,Nu,Bank,Cajita (on demand),0,0.065,300000,4808.22
C. All in CETES (GBM),300000,90,50,CETES (via GBM or Cetesdirecto),Government,CETES 91d,90,0.0659,300000,4874.79
