amount_mxn,equity_share,equity_vehicle,spx_scenario,fx_scenario,savings_mxn,savings_net_mxn,equity_mxn,equity_net_mxn,total_net_mxn,total_net_return,is_default_amount
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso +10% (USD/MXN -10%),100000.0,14305.0,100000.0,6608.88,20913.88,0.10457,yes
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso flat,100000.0,14305.0,100000.0,17343.2,31648.2,0.15824,yes
200000,0.5,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso -10% (USD/MXN +10%),100000.0,14305.0,100000.0,28077.52,42382.52,0.21191,yes
200000,0.5,S&P 500 via IVVPESO (peso hedged),Bear,n/a,100000.0,14305.0,100000.0,-13432.3,872.7,0.00436,yes
200000,0.5,S&P 500 via IVVPESO (peso hedged),Flat,n/a,100000.0,14305.0,100000.0,1267.09,15572.09,0.07786,yes
200000,0.5,S&P 500 via IVVPESO (peso hedged),Base,n/a,100000.0,14305.0,100000.0,8390.37,22695.37,0.11348,yes
200000,0.5,S&P 500 via IVVPESO (peso hedged),Bull,n/a,100000.0,14305.0,100000.0,19075.3,33380.3,0.1669,yes
300000,0,Savings only,Bear,n/a,300000,33990.0,0,0.0,33990.0,0.1133,no
300000,0,Savings only,Flat,n/a,300000,33990.0,0,0.0,33990.0,0.1133,no
300000,0,Savings only,Base,n/a,300000,33990.0,0,0.0,33990.0,0.1133,no
300000,0,Savings only,Bull,n/a,300000,33990.0,0,0.0,33990.0,0.1133,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),270000.0,31260.0,30000.0,-7189.57,24070.43,0.08023,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso flat,270000.0,31260.0,30000.0,-4655.08,26604.92,0.08868,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso -10% (USD/MXN +10%),270000.0,31260.0,30000.0,-2120.59,29139.41,0.09713,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso +10% (USD/MXN -10%),270000.0,31260.0,30000.0,-3164.2,28095.8,0.09365,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso flat,270000.0,31260.0,30000.0,-182.44,31077.56,0.10359,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Flat,Peso -10% (USD/MXN +10%),270000.0,31260.0,30000.0,2519.38,33779.38,0.1126,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso +10% (USD/MXN -10%),270000.0,31260.0,30000.0,-1017.34,30242.66,0.10081,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso flat,270000.0,31260.0,30000.0,1982.66,33242.66,0.11081,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Base,Peso -10% (USD/MXN +10%),270000.0,31260.0,30000.0,4880.93,36140.93,0.12047,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso +10% (USD/MXN -10%),270000.0,31260.0,30000.0,1982.66,33242.66,0.11081,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso flat,270000.0,31260.0,30000.0,5202.96,36462.96,0.12154,no
300000,0.1,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bull,Peso -10% (USD/MXN +10%),270000.0,31260.0,30000.0,8423.26,39683.26,0.13228,no
300000,0.1,S&P 500 via IVVPESO (peso hedged),Bear,n/a,270000.0,31260.0,30000.0,-4029.69,27230.31,0.09077,no
300000,0.1,S&P 500 via IVVPESO (peso hedged),Flat,n/a,270000.0,31260.0,30000.0,380.13,31640.13,0.10547,no
300000,0.1,S&P 500 via IVVPESO (peso hedged),Base,n/a,270000.0,31260.0,30000.0,2517.11,33777.11,0.11259,no
300000,0.1,S&P 500 via IVVPESO (peso hedged),Bull,n/a,270000.0,31260.0,30000.0,5722.59,36982.59,0.12328,no
300000,0.25,"S&P 500 via SIC (VOO/IVV, USD exposure)",Bear,Peso +10% (USD/MXN -10%),225000.0,27165.0,75000.0,-17973.93,9191.07,0.03064,no
